lane1_score,lane2_score,lane3_score,lane4_score,lane5_score,lane6_score,lane1_rank,lane2_rank,lane3_rank,lane4_rank,lane5_rank,lane6_rank,race_key,trifecta_odds,scores,ranks,true_order_prob,true_order_rank
-0.23980731,1.2418096,-0.37747738,-1.1175005,-0.78837305,-0.1395506,3,1,4,6,5,2,2025-01-03-12-若 松,112.9,"[-0.23980730772018433, 1.241809606552124, -0.37747737765312195, -1.1175005435943604, -0.7883730530738831, -0.1395505964756012]","[3, 1, 4, 6, 5, 2]",0.013881961883355155,1
2.1935132,0.9899677,0.029545538,1.1023178,0.21729095,-0.24122253,2,4,1,3,5,6,2025-01-04-01-若 松,36.6,"[2.1935131549835205, 0.9899677038192749, 0.029545538127422333, 1.1023178100585938, 0.2172909528017044, -0.2412225306034088]","[2, 4, 1, 3, 5, 6]",0.004245679235051172,68
3.5197124,0.5668851,0.34341326,0.5524683,0.54204494,1.2105143,1,2,5,4,6,3,2025-01-04-02-若 松,43.0,"[3.519712448120117, 0.5668851137161255, 0.34341326355934143, 0.5524682998657227, 0.5420449376106262, 1.2105143070220947]","[1, 2, 5, 4, 6, 3]",0.00894347167866256,31
2.2136877,0.58121896,-0.18052831,-0.15095015,1.0928103,-0.124612056,1,6,4,2,3,5,2025-01-04-03-若 松,30.0,"[2.2136876583099365, 0.581218957901001, -0.18052831292152405, -0.15095014870166779, 1.0928102731704712, -0.12461205571889877]","[1, 6, 4, 2, 3, 5]",0.0023478417041531527,132
0.44245276,1.4346381,-0.7898394,1.9673657,-0.10454055,-0.013129329,2,1,3,4,6,5,2025-01-04-04-若 松,117.0,"[0.4424527585506439, 1.4346381425857544, -0.7898393869400024, 1.9673657417297363, -0.10454054921865463, -0.013129329308867455]","[2, 1, 3, 4, 6, 5]",0.0007670559406417615,231
3.0781415,1.1986932,-0.5055551,1.1019169,0.5179512,-0.07051285,1,3,5,4,2,6,2025-01-04-05-若 松,50.2,"[3.078141450881958, 1.1986931562423706, -0.5055550932884216, 1.1019169092178345, 0.5179511904716492, -0.07051285356283188]","[1, 3, 5, 4, 2, 6]",0.013419546662101852,17
3.0166266,0.5713032,-0.09635449,1.0463136,0.36781704,0.75023746,1,4,3,2,5,6,2025-01-04-06-若 松,12.0,"[3.0166265964508057, 0.5713031888008118, -0.09635449200868607, 1.0463136434555054, 0.3678170442581177, 0.7502374649047852]","[1, 4, 3, 2, 5, 6]",0.004248118046184611,75
1.9949247,0.6967163,0.00029445568,-0.6766042,0.10396065,0.22535074,2,5,1,3,6,4,2025-01-04-07-若 松,179.4,"[1.9949246644973755, 0.69671630859375, 0.0002944556763395667, -0.6766042113304138, 0.10396064817905426, 0.2253507375717163]","[2, 5, 1, 3, 6, 4]",0.000874595159253368,266
2.4443555,0.7617289,0.39272594,-0.10136468,-0.055705037,1.6915749,1,6,2,3,5,4,2025-01-04-08-若 松,9.9,"[2.4443554878234863, 0.7617288827896118, 0.39272594451904297, -0.10136467963457108, -0.05570503696799278, 1.6915749311447144]","[1, 6, 2, 3, 5, 4]",0.0013077023423352808,175
1.0853517,1.180523,0.84794587,-0.43383574,0.50640625,0.34911072,1,4,6,2,3,5,2025-01-04-09-若 松,76.1,"[1.0853517055511475, 1.1805230379104614, 0.8479458689689636, -0.4338357448577881, 0.5064062476158142, 0.3491107225418091]","[1, 4, 6, 2, 3, 5]",0.0005636159578340935,407
3.017157,2.2248871,0.929409,0.81889445,0.3971151,-0.45009828,1,2,3,4,6,5,2025-01-04-10-若 松,4.1,"[3.0171570777893066, 2.2248871326446533, 0.9294090270996094, 0.8188944458961487, 0.3971151113510132, -0.45009827613830566]","[1, 2, 3, 4, 6, 5]",0.01808006142415886,12
1.9628061,0.18885852,1.0423142,0.077352986,1.1146069,-0.18593411,6,5,1,2,3,4,2025-01-04-11-若 松,140.4,"[1.9628061056137085, 0.1888585239648819, 1.0423141717910767, 0.07735298573970795, 1.1146068572998047, -0.18593411147594452]","[6, 5, 1, 2, 3, 4]",4.6982938512161756e-05,621
1.1438096,0.13423531,0.8104989,-1.2397264,0.045000575,-0.5877531,2,4,1,5,6,3,2025-01-04-12-若 松,48.1,"[1.1438095569610596, 0.13423530757427216, 0.8104988932609558, -1.2397264242172241, 0.045000575482845306, -0.5877531170845032]","[2, 4, 1, 5, 6, 3]",0.0024851277933716567,108
2.1544213,0.99625057,-0.2334246,-0.22790281,-0.2828052,-0.11126844,3,1,6,5,2,4,2025-01-05-01-若 松,361.7,"[2.154421329498291, 0.996250569820404, -0.2334246039390564, -0.22790281474590302, -0.2828052043914795, -0.11126843839883804]","[3, 1, 6, 5, 2, 4]",0.0016574200862433408,167
0.8245937,0.08057453,1.4736699,-0.14879674,0.6895157,-0.5140805,1,2,3,5,4,6,2025-01-05-02-若 松,31.1,"[0.824593722820282, 0.08057452738285065, 1.4736698865890503, -0.14879673719406128, 0.6895157098770142, -0.5140805244445801]","[1, 2, 3, 5, 4, 6]",0.004725170811568453,54
1.4124261,1.5286039,0.7974594,0.926954,-0.25305182,0.8158759,1,2,5,6,3,4,2025-01-05-03-若 松,96.9,"[1.4124261140823364, 1.5286039113998413, 0.7974594235420227, 0.9269539713859558, -0.2530518174171448, 0.8158758878707886]","[1, 2, 5, 6, 3, 4]",0.0013932400754690557,215
0.9026876,1.1102589,-0.1270215,2.0676978,-0.47382224,2.4449742,1,4,5,3,6,2,2025-01-05-04-若 松,19.7,"[0.9026876091957092, 1.110258936882019, -0.12702150642871857, 2.067697763442993, -0.4738222360610962, 2.444974184036255]","[1, 4, 5, 3, 6, 2]",0.011165061313112113,21
1.5195543,2.7242892,0.9784726,0.34021905,0.17573075,-0.46766883,1,2,5,4,3,6,2025-01-05-05-若 松,13.9,"[1.5195542573928833, 2.7242891788482666, 0.9784725904464722, 0.34021905064582825, 0.17573074996471405, -0.4676688313484192]","[1, 2, 5, 4, 3, 6]",0.006301328620591316,41
2.563895,0.4407536,1.1676028,1.2712317,0.13792059,0.55773985,1,5,2,4,3,6,2025-01-05-06-若 松,101.7,"[2.5638949871063232, 0.44075360894203186, 1.167602777481079, 1.2712316513061523, 0.1379205882549286, 0.5577398538589478]","[1, 5, 2, 4, 3, 6]",0.005376229364484232,48
2.785131,0.30942297,1.7039032,0.6367964,-0.26959395,-0.22281408,1,2,5,3,4,6,2025-01-05-07-若 松,30.4,"[2.7851309776306152, 0.30942296981811523, 1.7039031982421875, 0.6367964148521423, -0.2695939540863037, -0.22281408309936523]","[1, 2, 5, 3, 4, 6]",0.0016105305334175653,133
1.9819369,0.77820516,0.407446,0.8663863,0.11943423,-0.18330798,1,5,4,2,3,6,2025-01-05-08-若 松,10.8,"[1.9819369316101074, 0.778205156326294, 0.4074459969997406, 0.8663862943649292, 0.11943423002958298, -0.1833079755306244]","[1, 5, 4, 2, 3, 6]",0.00678306080128181,26
1.363181,0.94491506,0.36540505,1.0352712,1.2226522,-0.3071234,1,2,3,4,5,6,2025-01-05-09-若 松,22.8,"[1.3631809949874878, 0.9449150562286377, 0.36540505290031433, 1.035271167755127, 1.2226521968841553, -0.3071233928203583]","[1, 2, 3, 4, 5, 6]",0.003530658208799541,77
2.7869263,1.3996761,1.1612307,-0.0138242,0.25950924,-0.37717772,2,1,4,3,6,5,2025-01-05-10-若 松,119.9,"[2.78692626953125, 1.3996760845184326, 1.1612306833267212, -0.013824200257658958, 0.25950923562049866, -0.37717771530151367]","[2, 1, 4, 3, 6, 5]",0.0037964493130297075,75
2.451844,2.466347,0.20298052,0.803085,1.4182006,1.0655054,3,1,5,4,6,2,2025-01-05-11-若 松,395.4,"[2.4518439769744873, 2.4663469791412354, 0.20298051834106445, 0.8030850291252136, 1.4182006120681763, 1.0655053853988647]","[3, 1, 5, 4, 6, 2]",0.0018589474575718646,146
0.8302137,-1.8095691,-1.370316,8.178603,-0.80503285,-1.2063293,1,5,2,6,3,4,2025-01-05-12-若 松,5.2,"[0.830213725566864, -1.8095691204071045, -1.3703160285949707, 8.178603172302246, -0.8050328493118286, -1.206329345703125]","[1, 5, 2, 6, 3, 4]",2.2164898661292257e-20,608
0.94681627,0.44041175,0.6054423,-0.26320893,0.24166691,0.3900552,1,3,2,4,5,6,2025-01-06-01-若 松,24.1,"[0.9468162655830383, 0.4404117465019226, 0.6054422855377197, -0.26320892572402954, 0.24166691303253174, 0.39005520939826965]","[1, 3, 2, 4, 5, 6]",0.002233545440351637,123
0.8412307,1.3185596,0.46917027,1.5268667,0.21808232,-0.05813621,2,1,5,4,3,6,2025-01-06-02-若 松,24.2,"[0.8412306904792786, 1.3185596466064453, 0.4691702723503113, 1.5268666744232178, 0.21808232367038727, -0.05813620984554291]","[2, 1, 5, 4, 3, 6]",0.003365441374383099,83
2.8200343,2.332433,0.34317288,1.1335149,2.7093935,0.3007899,1,6,3,2,5,4,2025-01-06-03-若 松,131.1,"[2.8200342655181885, 2.332432985305786, 0.3431728780269623, 1.1335148811340332, 2.7093935012817383, 0.30078989267349243]","[1, 6, 3, 2, 5, 4]",5.252044416948035e-05,458
2.2541866,0.59674877,1.2555289,1.3932585,-0.2834325,0.9554586,1,4,5,2,6,3,2025-01-06-04-若 松,13.9,"[2.2541866302490234, 0.5967487692832947, 1.2555289268493652, 1.3932584524154663, -0.2834325134754181, 0.9554585814476013]","[1, 4, 5, 2, 6, 3]",0.010008597481023911,14
2.1039617,2.7840445,1.2310617,0.9592769,0.014118091,0.34377906,5,6,3,1,2,4,2025-01-06-05-若 松,418.9,"[2.103961706161499, 2.7840445041656494, 1.2310616970062256, 0.9592769145965576, 0.014118091203272343, 0.343779057264328]","[5, 6, 3, 1, 2, 4]",5.744859344321856e-06,707
2.7819965,1.296138,1.9439994,1.4786818,0.0940576,0.70945525,1,4,2,3,5,6,2025-01-06-06-若 松,3.7,"[2.781996488571167, 1.296138048171997, 1.9439994096755981, 1.4786818027496338, 0.094057597219944, 0.7094552516937256]","[1, 4, 2, 3, 5, 6]",0.013434814628007457,9
0.59556633,-1.1721354,-2.5328987,-2.0272052,9.095855,-1.6045285,1,2,4,5,6,3,2025-01-06-07-若 松,6.8,"[0.5955663323402405, -1.172135353088379, -2.5328986644744873, -2.027205228805542, 9.095854759216309, -1.604528546333313]","[1, 2, 4, 5, 6, 3]",2.0928609186440974e-23,602
2.3571305,1.7057152,0.2048505,0.13067065,0.25349623,-0.11844363,1,3,5,2,4,6,2025-01-06-08-若 松,13.8,"[2.357130527496338, 1.7057151794433594, 0.20485049486160278, 0.13067065179347992, 0.2534962296485901, -0.11844363063573837]","[1, 3, 5, 2, 4, 6]",0.007884513455524428,37
2.9766574,1.4023912,0.51920694,0.7421742,0.9433412,0.51638824,1,2,6,4,5,3,2025-01-06-09-若 松,56.8,"[2.9766573905944824, 1.4023911952972412, 0.5192069411277771, 0.7421742081642151, 0.9433411955833435, 0.5163882374763489]","[1, 2, 6, 4, 5, 3]",0.008686374136302702,20
-0.104198284,1.3094496,0.23760243,1.5956509,-0.409338,1.0236073,6,4,1,3,5,2,2025-01-06-10-若 松,364.9,"[-0.10419828444719315, 1.309449553489685, 0.23760242760181427, 1.5956509113311768, -0.40933799743652344, 1.0236072540283203]","[6, 4, 1, 3, 5, 2]",0.0027504441580193622,107
2.1231399,2.813726,0.12516263,2.453388,1.5837471,0.8654248,2,6,5,1,3,4,2025-01-06-11-若 松,43.7,"[2.1231398582458496, 2.8137259483337402, 0.12516263127326965, 2.453387975692749, 1.583747148513794, 0.8654248118400574]","[2, 6, 5, 1, 3, 4]",9.412513396169297e-05,491
1.2885438,2.6246545,0.893104,1.3537569,1.6448727,1.1021879,4,3,5,6,1,2,2025-01-06-12-若 松,774.9,"[1.2885438203811646, 2.624654531478882, 0.8931040167808533, 1.3537569046020508, 1.6448726654052734, 1.1021878719329834]","[4, 3, 5, 6, 1, 2]",0.001497719376733632,244
2.3505085,0.22659223,-0.16566306,-0.8369931,0.15918434,1.0827583,1,4,3,6,5,2,2025-01-13-01-若 松,66.8,"[2.350508451461792, 0.22659222781658173, -0.16566306352615356, -0.8369930982589722, 0.15918433666229248, 1.0827583074569702]","[1, 4, 3, 6, 5, 2]",0.019854336655195287,6
0.76368225,2.9446902,0.9137056,2.162668,0.24833317,1.1960279,1,4,5,2,6,3,2025-01-13-02-若 松,112.4,"[0.7636822462081909, 2.944690227508545, 0.913705587387085, 2.162667989730835, 0.2483331710100174, 1.1960278749465942]","[1, 4, 5, 2, 6, 3]",0.0010147418721571126,213
1.796739,-0.66226846,1.1807015,-0.18674798,0.28528854,1.8401425,4,6,1,5,3,2,2025-01-13-03-若 松,45.2,"[1.7967389822006226, -0.6622684597969055, 1.180701494216919, -0.1867479830980301, 0.285288542509079, 1.8401424884796143]","[4, 6, 1, 5, 3, 2]",0.005767436469761365,46
0.8368999,2.1112735,-0.689863,1.6419971,-0.38748658,1.6910876,4,1,6,3,5,2,2025-01-13-04-若 松,73.1,"[0.8368998765945435, 2.1112735271453857, -0.6898630261421204, 1.6419970989227295, -0.3874865770339966, 1.6910876035690308]","[4, 1, 6, 3, 5, 2]",0.0323496643778338,1
2.7531528,1.7057048,-0.67380786,1.3197452,-0.38193226,-2.074195,1,3,5,2,4,6,2025-01-13-05-若 松,4.5,"[2.753152847290039, 1.7057048082351685, -0.6738078594207764, 1.3197451829910278, -0.38193225860595703, -2.07419490814209]","[1, 3, 5, 2, 4, 6]",0.07095833213640337,3
2.325661,1.0540807,1.289221,0.4436191,-0.022303294,0.9211315,4,2,1,5,6,3,2025-01-13-06-若 松,38.2,"[2.3256609439849854, 1.0540807247161865, 1.2892210483551025, 0.44361910223960876, -0.022303294390439987, 0.9211314916610718]","[4, 2, 1, 5, 6, 3]",0.002132395829819105,139
1.4504611,2.7698038,0.30233753,0.024628397,1.324635,0.682144,6,1,4,5,2,3,2025-01-13-07-若 松,21.4,"[1.4504611492156982, 2.769803762435913, 0.30233752727508545, 0.024628397077322006, 1.3246350288391113, 0.6821439862251282]","[6, 1, 4, 5, 2, 3]",0.0015484754587409425,160
1.9447892,1.832829,1.37713,1.0902553,0.22296496,0.026258025,1,2,4,3,6,5,2025-01-13-08-若 松,5.6,"[1.944789171218872, 1.8328289985656738, 1.3771300315856934, 1.0902552604675293, 0.22296495735645294, 0.02625802531838417]","[1, 2, 4, 3, 6, 5]",0.011638190109210654,9
2.1147094,0.426193,-0.18602914,-0.8065159,-0.2952802,0.3899948,1,3,4,6,5,2,2025-01-13-09-若 松,21.1,"[2.1147093772888184, 0.4261929988861084, -0.18602913618087769, -0.8065158724784851, -0.29528018832206726, 0.3899948000907898]","[1, 3, 4, 6, 5, 2]",0.020231954550840203,2
2.9281833,0.21060611,1.7521821,-0.18479589,0.12331949,1.037639,1,5,6,4,3,2,2025-01-13-10-若 松,46.6,"[2.9281833171844482, 0.21060611307621002, 1.752182126045227, -0.18479588627815247, 0.12331949174404144, 1.0376390218734741]","[1, 5, 6, 4, 3, 2]",0.00034678853013615947,265
1.3705397,0.30869594,0.32498404,0.4184027,0.100508735,0.9604421,1,2,3,5,6,4,2025-01-13-11-若 松,8.2,"[1.370539665222168, 0.3086959421634674, 0.32498404383659363, 0.41840270161628723, 0.10050873458385468, 0.9604421257972717]","[1, 2, 3, 5, 6, 4]",0.003399149958409684,64
3.7496655,0.562991,2.9589705,2.2823236,1.5168954,1.0541949,1,6,2,3,4,5,2025-01-13-12-若 松,10.1,"[3.7496654987335205, 0.5629910230636597, 2.958970546722412, 2.2823235988616943, 1.5168954133987427, 1.0541949272155762]","[1, 6, 2, 3, 4, 5]",0.042149246090033295,1
2.586907,-0.69724673,-0.92249227,1.8003304,0.85958356,0.25738847,1,5,6,3,2,4,2025-01-14-01-若 松,16.1,"[2.586906909942627, -0.6972467303276062, -0.922492265701294, 1.800330400466919, 0.8595835566520691, 0.25738847255706787]","[1, 5, 6, 3, 2, 4]",0.029902054377566774,5
1.5893186,0.15858564,1.5412128,1.9199862,0.771294,1.2063249,1,6,3,2,4,5,2025-01-14-02-若 松,23.6,"[1.5893186330795288, 0.15858563780784607, 1.541212797164917, 1.9199862480163574, 0.7712939977645874, 1.2063249349594116]","[1, 6, 3, 2, 4, 5]",0.007874359716244467,15
3.6484735,0.6000399,1.1870433,-0.4696143,0.57542616,1.7216383,1,3,4,5,6,2,2025-01-14-03-若 松,24.4,"[3.6484735012054443, 0.6000398993492126, 1.187043309211731, -0.46961429715156555, 0.5754261612892151, 1.7216383218765259]","[1, 3, 4, 5, 6, 2]",0.011612727624814287,22
