race_key,first_lane,second_lane,third_lane,trifecta_odds,pred1,pred2,pred3,conf,p_model_raw,hit,returns,act1,act2,act3
2025-01-06-12-若 松,5,6,2,774.9,1,2,4,0.35088062,0.0007066887337714434,True,774.9,5,6,2
2025-01-13-01-若 松,1,6,3,66.8,1,6,2,1.7427522,0.004067842848598957,True,66.8,1,6,3
2025-01-13-02-若 松,1,4,6,112.4,2,4,3,0.22004801,0.0014126973692327738,True,112.4,1,4,6
2025-01-13-03-若 松,3,6,5,45.2,1,3,6,0.13066131,0.002983611775562167,True,45.2,3,6,5
2025-01-13-04-若 松,2,6,4,73.1,2,4,1,0.88781416,0.012717796489596367,True,73.1,2,6,4
2025-01-13-05-若 松,1,4,2,4.5,1,4,2,0.99326146,0.01816590502858162,True,4.5,1,4,2
2025-01-13-06-若 松,3,2,6,38.2,1,3,2,0.91713786,0.002169298939406872,True,38.2,3,2,6
2025-01-13-07-若 松,2,5,6,21.4,2,1,5,0.55529916,0.0028726086020469666,True,21.4,2,5,6
2025-01-13-08-若 松,1,2,4,5.6,1,3,4,0.41605696,0.008277163840830326,True,5.6,1,2,4
2025-01-13-09-若 松,1,6,2,21.1,1,2,6,1.7570837,0.0064609418623149395,True,21.1,1,6,2
2025-01-13-10-若 松,1,6,5,46.6,1,3,2,0.04036659,0.0006258174544200301,True,46.6,1,6,5
2025-01-13-11-若 松,1,2,3,8.2,1,4,3,1.485259,0.006376249715685844,True,8.2,1,2,3
2025-01-13-12-若 松,1,3,4,10.1,1,3,4,0.5101144,0.01763022132217884,True,10.1,1,3,4
2025-01-14-01-若 松,1,5,4,16.1,1,4,5,1.1121528,0.008983194828033447,True,16.1,1,5,4
2025-01-14-02-若 松,1,4,3,23.6,4,1,3,0.0063033104,0.021407028660178185,True,23.6,1,4,3
2025-01-14-03-若 松,1,6,2,24.4,1,3,6,1.2382802,0.005057619884610176,True,24.4,1,6,2
2025-01-14-04-若 松,6,3,4,63.2,2,3,6,0.43835312,0.0021280546206980944,True,63.2,6,3,4
2025-01-14-05-若 松,1,2,4,5.4,1,4,2,1.5388434,0.009195658378303051,True,5.4,1,2,4
2025-01-14-06-若 松,4,5,6,22.2,1,6,3,1.0553799,0.0008986868197098374,True,22.2,4,5,6
2025-01-14-07-若 松,2,5,6,67.1,5,6,2,0.88588727,0.010603751987218857,True,67.1,2,5,6
2025-01-14-08-若 松,1,2,3,5.4,1,3,2,0.11854172,0.02473132312297821,True,5.4,1,2,3
2025-01-14-09-若 松,1,5,6,19.0,1,3,6,1.9381392,0.0020139317493885756,True,19.0,1,5,6
2025-01-14-10-若 松,1,3,6,11.2,1,3,4,1.3658041,0.005131996236741543,True,11.2,1,3,6
2025-01-14-11-若 松,2,1,4,10.7,1,2,3,1.1417576,0.010334803722798824,True,10.7,2,1,4
2025-01-14-12-若 松,1,4,3,65.4,4,1,3,0.42732164,0.016174986958503723,True,65.4,1,4,3
2025-01-15-01-若 松,1,4,3,8.6,1,4,3,1.1960764,0.011638812720775604,True,8.6,1,4,3
2025-01-15-02-若 松,1,3,5,11.2,1,3,5,0.2670915,0.012293345294892788,True,11.2,1,3,5
2025-01-15-03-若 松,4,2,6,39.3,4,1,6,1.1317128,0.004853406921029091,True,39.3,4,2,6
2025-01-15-04-若 松,1,5,3,14.3,1,3,5,0.50361353,0.017943181097507477,True,14.3,1,5,3
2025-01-15-05-若 松,1,4,2,6.5,2,1,4,0.033025622,0.01831934228539467,True,6.5,1,4,2
2025-01-15-06-若 松,1,4,3,46.5,1,3,4,1.2251394,0.010244657285511494,True,46.5,1,4,3
2025-01-15-07-若 松,1,5,3,81.6,1,2,3,1.0165449,0.002010162454098463,True,81.6,1,5,3
2025-01-15-08-若 松,2,5,4,355.9,2,3,1,0.7530378,0.0005506898742169142,True,355.9,2,5,4
2025-01-15-09-若 松,5,1,2,68.5,1,2,5,0.25561833,0.014129461720585823,True,68.5,5,1,2
2025-01-15-10-若 松,1,5,2,34.0,1,5,2,0.023637772,0.01437563356012106,True,34.0,1,5,2
2025-01-15-11-若 松,1,3,2,8.9,1,3,2,1.1287587,0.009230544790625572,True,8.9,1,3,2
2025-01-15-12-若 松,1,4,3,10.9,1,4,3,0.86114186,0.01226790715008974,True,10.9,1,4,3
2025-01-16-01-若 松,5,1,3,106.1,1,3,2,1.2137096,0.008542574010789394,True,106.1,5,1,3
2025-01-16-02-若 松,1,3,4,90.9,1,2,3,0.7236849,0.002996664261445403,True,90.9,1,3,4
2025-01-16-03-若 松,3,5,6,16.1,1,3,5,0.063070714,0.0027314622420817614,True,16.1,3,5,6
2025-01-16-04-若 松,5,3,6,250.6,1,3,2,1.3729925,0.00026184614398516715,True,250.6,5,3,6
2025-01-16-05-若 松,3,6,5,736.1,1,4,2,0.7118935,0.0001354575069854036,True,736.1,3,6,5
2025-01-16-06-若 松,1,2,4,7.8,1,2,6,0.10445315,0.007055000867694616,True,7.8,1,2,4
2025-01-16-07-若 松,3,4,6,34.9,1,3,6,0.4236797,0.002424373757094145,True,34.9,3,4,6
2025-01-16-08-若 松,1,2,3,3.7,1,4,3,0.7117367,0.008494908921420574,True,3.7,1,2,3
2025-01-16-09-若 松,5,2,3,185.9,1,2,4,0.4476477,0.0008664295892231166,True,185.9,5,2,3
2025-01-16-10-若 松,1,3,4,9.9,1,3,4,0.7495762,0.017085710540413857,True,9.9,1,3,4
2025-01-16-11-若 松,1,6,4,57.6,1,3,2,1.0833943,0.004050021059811115,True,57.6,1,6,4
2025-01-16-12-若 松,5,4,2,87.3,5,1,2,0.7287962,0.004041224718093872,True,87.3,5,4,2
2025-01-17-01-若 松,1,3,4,16.5,3,1,2,0.34490633,0.007023863960057497,True,16.5,1,3,4
2025-01-17-02-若 松,5,3,4,64.4,5,3,4,0.7931807,0.016136320307850838,True,64.4,5,3,4
2025-01-17-03-若 松,2,6,1,60.5,2,4,6,0.6818551,0.0019986943807452917,True,60.5,2,6,1
2025-01-17-04-若 松,1,5,6,33.2,5,1,3,0.09028977,0.009033391252160072,True,33.2,1,5,6
2025-01-17-05-若 松,2,1,5,100.6,1,2,4,0.43726432,0.004494988359510899,True,100.6,2,1,5
2025-01-17-06-若 松,1,6,2,16.7,1,2,5,1.5677267,0.007145817391574383,True,16.7,1,6,2
2025-01-17-07-若 松,6,2,1,,1,2,6,0.38738292,0.026290467008948326,True,,6,2,1
2025-01-17-08-若 松,1,4,2,8.5,1,4,2,1.0243698,0.013271745294332504,True,8.5,1,4,2
2025-01-17-09-若 松,1,2,3,6.8,1,2,3,0.52805054,0.013237763196229935,True,6.8,1,2,3
2025-01-17-10-若 松,1,3,4,14.0,1,2,3,0.8303407,0.003710248740389943,True,14.0,1,3,4
2025-01-17-11-若 松,3,6,1,589.0,1,3,2,0.6473432,0.002986742416396737,True,589.0,3,6,1
2025-01-17-12-若 松,1,2,6,27.8,1,6,2,1.4826925,0.010275387205183506,True,27.8,1,2,6
2025-01-18-01-若 松,1,4,2,8.5,1,2,4,2.011071,0.005608436185866594,True,8.5,1,4,2
2025-01-18-02-若 松,2,1,3,78.5,1,3,4,0.2957033,0.009064068086445332,True,78.5,2,1,3
2025-01-18-03-若 松,1,6,4,35.7,1,4,3,1.3368063,0.003968075383454561,True,35.7,1,6,4
2025-01-18-04-若 松,3,5,1,106.0,3,1,6,0.29409337,0.003986142110079527,True,106.0,3,5,1
2025-01-18-05-若 松,1,4,2,6.3,1,4,2,1.335768,0.012412823736667633,True,6.3,1,4,2
2025-01-18-06-若 松,1,3,5,48.2,1,2,3,1.3666933,0.0054178861901164055,True,48.2,1,3,5
2025-01-18-07-若 松,5,1,4,38.6,1,2,5,1.0578,0.004409721586853266,True,38.6,5,1,4
2025-01-18-08-若 松,2,1,3,98.2,2,1,3,1.027879,0.01835986226797104,True,98.2,2,1,3
2025-01-18-09-若 松,3,1,6,184.7,1,3,5,1.4928031,0.005569409113377333,True,184.7,3,1,6
2025-01-18-10-若 松,2,1,3,30.9,1,2,3,0.29725528,0.019307231530547142,True,30.9,2,1,3
2025-01-18-11-若 松,1,3,4,12.7,1,3,2,1.3561705,0.0029978600796312094,True,12.7,1,3,4
2025-01-18-12-若 松,1,3,6,13.0,1,3,6,1.7260299,0.005872034002095461,True,13.0,1,3,6
2025-01-19-01-若 松,1,2,4,5.8,1,4,2,1.2039084,0.013616926036775112,True,5.8,1,2,4
2025-01-19-02-若 松,1,2,3,8.7,1,2,3,0.87694937,0.01207183301448822,True,8.7,1,2,3
2025-01-19-03-若 松,4,1,5,30.2,1,4,3,1.6640681,0.0036860136315226555,True,30.2,4,1,5
2025-01-19-04-若 松,1,2,5,44.8,1,2,6,0.4941819,0.008197866380214691,True,44.8,1,2,5
2025-01-19-05-若 松,1,2,4,6.2,1,3,4,1.7428675,0.007066848687827587,True,6.2,1,2,4
2025-01-19-06-若 松,1,2,4,14.8,1,2,3,2.018808,0.004469653591513634,True,14.8,1,2,4
2025-01-19-07-若 松,1,3,4,19.6,1,4,6,0.79296935,0.012042827904224396,True,19.6,1,3,4
2025-01-19-08-若 松,1,2,6,21.1,1,2,4,1.5255804,0.006140883546322584,True,21.1,1,2,6
2025-01-19-09-若 松,1,5,6,36.0,1,2,3,0.13937384,0.0019716450478881598,True,36.0,1,5,6
2025-01-19-10-若 松,2,1,4,22.2,1,2,3,0.3030609,0.011875423602759838,True,22.2,2,1,4
2025-01-19-11-若 松,1,6,3,66.5,1,3,6,1.096589,0.009668613784015179,True,66.5,1,6,3
2025-01-19-12-若 松,1,4,2,11.6,1,2,3,0.43240678,0.008530457504093647,True,11.6,1,4,2
2025-01-26-01-若 松,3,1,6,64.4,3,1,2,0.3629198,0.00724228098988533,True,64.4,3,1,6
2025-01-26-02-若 松,2,3,5,41.9,2,3,4,0.7639411,0.0033257051836699247,True,41.9,2,3,5
2025-01-26-03-若 松,4,1,2,27.2,4,1,2,2.2252731,0.004186522215604782,True,27.2,4,1,2
2025-01-26-04-若 松,1,5,6,19.7,1,3,5,1.009244,0.0047368379309773445,True,19.7,1,5,6
2025-01-26-05-若 松,1,4,2,7.2,1,2,4,0.096395254,0.020595885813236237,True,7.2,1,4,2
2025-01-26-06-若 松,1,4,3,43.9,1,3,6,0.44727975,0.010978390462696552,True,43.9,1,4,3
2025-01-26-07-若 松,2,3,1,20.0,1,2,3,0.6107896,0.024944640696048737,True,20.0,2,3,1
2025-01-26-08-若 松,1,2,3,6.9,3,1,2,0.26206505,0.026295427232980728,True,6.9,1,2,3
2025-01-26-09-若 松,3,2,1,83.8,1,3,2,0.21337342,0.020307151600718498,True,83.8,3,2,1
2025-01-26-10-若 松,2,1,3,29.5,1,4,3,0.48634982,0.0058821141719818115,True,29.5,2,1,3
2025-01-26-11-若 松,1,3,5,6.9,1,2,3,0.7721935,0.003000785131007433,True,6.9,1,3,5
2025-01-26-12-若 松,1,2,4,11.9,1,2,3,0.25796318,0.008571580052375793,True,11.9,1,2,4
2025-01-28-01-若 松,4,5,1,49.2,4,1,5,0.6329943,0.01234004832804203,True,49.2,4,5,1
2025-01-30-01-若 松,6,1,3,28.9,6,3,2,2.2458496,0.0024803702253848314,True,28.9,6,1,3
2025-01-30-02-若 松,2,4,6,76.6,1,4,2,0.62780815,0.0013175634667277336,True,76.6,2,4,6
2025-01-30-03-若 松,1,2,6,19.2,2,6,3,0.9348792,0.008972465991973877,True,19.2,1,2,6
2025-01-30-04-若 松,1,4,6,65.9,1,4,3,1.3893988,0.005367265082895756,True,65.9,1,4,6
2025-01-30-05-若 松,1,2,3,5.7,1,3,4,1.6821808,0.006276613567024469,True,5.7,1,2,3
2025-01-30-06-若 松,1,2,4,6.4,4,1,2,0.07555854,0.01996011473238468,True,6.4,1,2,4
2025-01-30-07-若 松,1,4,3,41.3,1,3,2,1.2070223,0.008392228744924068,True,41.3,1,4,3
2025-01-30-08-若 松,1,2,3,8.1,1,6,3,1.0867027,0.005861649289727211,True,8.1,1,2,3
2025-01-30-09-若 松,4,5,2,36.6,4,3,1,0.59998596,0.0007410896942019463,True,36.6,4,5,2
2025-01-30-10-若 松,1,3,2,8.3,1,2,3,1.0520266,0.015099165961146355,True,8.3,1,3,2
2025-01-30-11-若 松,4,5,6,443.2,3,1,5,0.73404145,0.0001493737509008497,True,443.2,4,5,6
2025-01-30-12-若 松,5,2,6,967.2,1,3,6,1.0989485,0.0009024353348650038,True,967.2,5,2,6
2025-02-01-01-若 松,1,3,2,9.0,1,2,3,0.46054864,0.01888991706073284,True,9.0,1,3,2
2025-02-01-02-若 松,5,6,2,437.1,3,1,5,1.7974205,0.0003099259629379958,True,437.1,5,6,2
2025-02-01-03-若 松,1,4,2,23.3,1,4,2,0.38611048,0.01669507473707199,True,23.3,1,4,2
2025-02-01-04-若 松,3,1,2,18.2,3,1,2,0.3491965,0.014985513873398304,True,18.2,3,1,2
2025-02-01-05-若 松,4,1,5,38.3,1,4,3,0.592667,0.007804154884070158,True,38.3,4,1,5
2025-02-01-06-若 松,5,4,1,103.3,1,4,3,0.44390553,0.010085874237120152,True,103.3,5,4,1
2025-02-01-07-若 松,1,3,2,16.3,2,3,1,0.10875219,0.018959978595376015,True,16.3,1,3,2
2025-02-01-08-若 松,1,2,4,5.1,1,4,3,0.21803874,0.013956637121737003,True,5.1,1,2,4
2025-02-01-09-若 松,1,5,2,29.8,1,4,2,1.0807073,0.005016883835196495,True,29.8,1,5,2
2025-02-01-10-若 松,5,4,1,397.2,5,4,3,0.2408629,0.01113570760935545,True,397.2,5,4,1
2025-02-01-11-若 松,1,4,2,24.6,2,1,4,0.14536273,0.016126155853271484,True,24.6,1,4,2
2025-02-01-12-若 松,1,2,6,33.1,1,3,2,1.2870276,0.002836816245689988,True,33.1,1,2,6
2025-02-02-01-若 松,1,3,2,40.0,1,2,5,1.0919152,0.0062963590025901794,True,40.0,1,3,2
2025-02-02-02-若 松,5,1,6,60.2,5,4,1,0.03641975,0.0018847783794626594,True,60.2,5,1,6
2025-02-02-03-若 松,3,1,2,38.9,1,3,5,0.755722,0.007134105544537306,True,38.9,3,1,2
2025-02-02-04-若 松,3,1,4,19.6,3,1,4,0.8655874,0.01040485966950655,True,19.6,3,1,4
2025-02-02-05-若 松,1,2,4,6.9,1,2,5,0.8792441,0.005822611041367054,True,6.9,1,2,4
2025-02-02-06-若 松,1,3,6,8.8,1,3,6,1.2816106,0.008306944742798805,True,8.8,1,3,6
2025-02-02-07-若 松,2,1,4,11.4,1,4,2,1.062721,0.014223001897335052,True,11.4,2,1,4
2025-02-02-08-若 松,1,3,2,6.1,1,2,6,1.8348064,0.005307043436914682,True,6.1,1,3,2
2025-02-02-09-若 松,1,2,5,6.6,1,5,3,0.5952353,0.008172684349119663,True,6.6,1,2,5
2025-02-02-10-若 松,1,5,6,145.6,2,4,1,0.088885665,3.132031997665763e-05,True,145.6,1,5,6
2025-02-02-11-若 松,1,4,6,6.2,2,1,4,0.9262602,0.0020203259773552418,True,6.2,1,4,6
2025-02-02-12-若 松,1,3,6,11.8,1,3,2,1.3090099,0.00133422389626503,True,11.8,1,3,6
2025-02-03-01-若 松,1,3,2,17.8,1,3,2,0.782303,0.01589168608188629,True,17.8,1,3,2
2025-02-03-02-若 松,2,5,6,160.0,6,4,2,1.1418294,0.002736069029197097,True,160.0,2,5,6
2025-02-03-03-若 松,2,3,1,20.8,3,2,1,0.80612236,0.014371450059115887,True,20.8,2,3,1
2025-02-03-04-若 松,5,2,4,451.5,3,5,2,0.65580153,0.0032926665153354406,True,451.5,5,2,4
2025-02-03-05-若 松,1,4,2,13.5,1,2,3,0.5042466,0.01225406862795353,True,13.5,1,4,2
2025-02-03-06-若 松,1,6,4,2.9,1,4,3,0.97160554,0.008646936155855656,True,2.9,1,6,4
2025-02-03-07-若 松,6,1,5,28.1,1,6,2,0.51140213,0.00841654185205698,True,28.1,6,1,5
2025-02-03-08-若 松,3,1,2,74.7,1,2,3,0.51521486,0.012486811727285385,True,74.7,3,1,2
2025-02-03-09-若 松,4,5,6,34.9,4,1,3,0.47892284,0.003121262416243553,True,34.9,4,5,6
2025-02-03-10-若 松,1,2,5,17.6,1,3,2,0.23553425,0.0049284580163657665,True,17.6,1,2,5
2025-02-03-11-若 松,1,2,5,28.2,1,2,6,1.2021769,0.006638615392148495,True,28.2,1,2,5
2025-02-03-12-若 松,5,4,1,31.8,1,4,3,0.8064057,0.009903796948492527,True,31.8,5,4,1
2025-02-04-01-若 松,2,1,3,27.9,2,1,3,0.6646296,0.01742066815495491,True,27.9,2,1,3
2025-02-04-02-若 松,3,2,6,80.5,2,3,4,0.4804333,0.009311508387327194,True,80.5,3,2,6
2025-02-04-03-若 松,4,5,2,51.6,2,5,4,1.0691121,0.010600065812468529,True,51.6,4,5,2
2025-02-04-04-若 松,5,3,4,16.5,3,1,2,0.1968674,0.00124691566452384,True,16.5,5,3,4
2025-02-04-05-若 松,1,3,4,9.4,1,3,2,0.92830676,0.011483363807201385,True,9.4,1,3,4
2025-02-04-06-若 松,6,5,1,74.4,1,6,3,0.41009378,0.008680721744894981,True,74.4,6,5,1
2025-02-04-07-若 松,3,5,2,142.2,3,1,2,0.45761573,0.0024129431694746017,True,142.2,3,5,2
2025-02-04-08-若 松,1,2,5,19.4,1,4,2,0.94948924,0.0018234673188999295,True,19.4,1,2,5
2025-02-04-09-若 松,1,5,4,23.2,1,3,5,1.2811999,0.004012166988104582,True,23.2,1,5,4
2025-02-04-10-若 松,1,5,3,10.7,1,3,5,0.6057384,0.015164349228143692,True,10.7,1,5,3
2025-02-04-11-若 松,3,1,6,68.7,1,3,5,0.6591582,0.008523242548108101,True,68.7,3,1,6
2025-02-04-12-若 松,4,5,1,38.5,5,2,6,0.23510158,0.0032261349260807037,True,38.5,4,5,1
2025-02-05-01-若 松,3,1,2,21.7,3,2,5,1.749291,0.006185290869325399,True,21.7,3,1,2
2025-02-06-01-若 松,4,5,1,203.0,1,4,5,1.0880092,0.010511563159525394,True,203.0,4,5,1
2025-02-06-02-若 松,1,4,2,45.2,4,1,3,1.9154387,0.0017771876882761717,True,45.2,1,4,2
2025-02-06-03-若 松,1,3,4,24.0,1,3,4,0.07407823,0.017675437033176422,True,24.0,1,3,4
2025-02-06-04-若 松,6,1,3,133.8,1,4,3,0.8415285,0.004465148318558931,True,133.8,6,1,3
2025-02-06-05-若 松,1,2,4,5.6,1,4,2,0.85534847,0.014599788002669811,True,5.6,1,2,4
2025-02-06-06-若 松,1,5,3,124.7,1,4,3,1.0512137,0.0010972049785777926,True,124.7,1,5,3
2025-02-06-07-若 松,4,5,2,55.2,1,4,2,0.83323157,0.001410347642377019,True,55.2,4,5,2
2025-02-06-08-若 松,1,3,2,7.5,1,2,3,1.482643,0.010873110964894295,True,7.5,1,3,2
2025-02-06-09-若 松,3,1,5,30.9,1,3,2,0.36188936,0.011200029402971268,True,30.9,3,1,5
2025-02-06-10-若 松,4,3,6,455.0,1,2,3,0.12671578,0.0006369677721522748,True,455.0,4,3,6
2025-02-06-11-若 松,1,2,3,5.8,1,3,2,0.6285528,0.011003977619111538,True,5.8,1,2,3
2025-02-06-12-若 松,2,5,1,117.7,2,1,6,1.4333005,0.005645709577947855,True,117.7,2,5,1
2025-02-09-01-若 松,1,3,2,11.5,1,2,3,0.8023709,0.014745756052434444,True,11.5,1,3,2
2025-02-09-02-若 松,3,6,2,18.4,2,3,6,0.75471264,0.018123677000403404,True,18.4,3,6,2
2025-02-09-03-若 松,4,5,1,63.0,3,1,4,0.2647289,0.003598730778321624,True,63.0,4,5,1
2025-02-09-04-若 松,3,2,1,85.6,3,2,1,0.26248312,0.017653966322541237,True,85.6,3,2,1
2025-02-09-05-若 松,6,1,5,3087.2,1,2,4,1.2642473,0.0004266895994078368,True,3087.2,6,1,5
