race_index,true_order,perm_probs,match_index,_tuple0,key0,key1,race_key,odds
1320,"[3, 2, 5]","[((2, 0, 3), 0.09025824815034866), ((2, 3, 0), 0.07167923450469971), ((0, 2, 3), 0.06635560095310211), ((3, 2, 0), 0.047498270869255066), ((2, 0, 1), 0.04525244981050491)]",22,"(3, 2, 5)",3-2-5,4-3-6,若松_20250421_9,87.9
1440,"[0, 2, 1]","[((0, 2, 1), 0.13869044184684753), ((2, 0, 1), 0.1349841207265854), ((0, 2, 4), 0.07751893252134323), ((2, 0, 4), 0.07544733583927155), ((0, 1, 2), 0.05884872004389763)]",1,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
1560,"[0, 2, 3]","[((0, 2, 5), 0.2278488427400589), ((0, 5, 2), 0.16509851813316345), ((2, 0, 5), 0.11192523688077927), ((5, 0, 2), 0.0744660422205925), ((0, 2, 3), 0.051291871815919876)]",5,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
1680,"[0, 1, 4]","[((1, 0, 3), 0.12725034356117249), ((0, 1, 3), 0.10703589767217636), ((1, 0, 2), 0.0917143002152443), ((0, 1, 2), 0.07714495807886124), ((1, 0, 5), 0.07056879997253418)]",9,"(0, 1, 4)",0-1-4,1-2-5,若松_20250424_11,8.3
1800,"[4, 0, 5]","[((0, 3, 2), 0.09772706776857376), ((0, 2, 3), 0.09648729115724564), ((3, 0, 2), 0.05737314373254776), ((2, 0, 3), 0.0563708133995533), ((0, 3, 1), 0.03629900515079498)]",68,"(4, 0, 5)",4-0-5,5-1-6,若松_20250424_12,220.5
1920,"[3, 4, 1]","[((2, 3, 4), 0.1075538694858551), ((2, 3, 0), 0.09191866964101791), ((2, 3, 1), 0.0903465524315834), ((2, 4, 3), 0.06722142547369003), ((2, 0, 3), 0.055741917341947556)]",57,"(3, 4, 1)",3-4-1,4-5-2,若松_20250424_2,131.0
2040,"[4, 3, 0]","[((0, 5, 1), 0.050998248159885406), ((0, 1, 5), 0.04572676867246628), ((5, 0, 1), 0.04070282354950905), ((1, 0, 5), 0.03440855070948601), ((0, 5, 4), 0.03316010162234306)]",58,"(4, 3, 0)",4-3-0,5-4-1,若松_20250424_3,211.5
2160,"[0, 2, 3]","[((1, 3, 2), 0.09533881396055222), ((3, 1, 2), 0.07712708413600922), ((1, 2, 3), 0.07468371093273163), ((1, 3, 0), 0.062131598591804504), ((2, 1, 3), 0.05375169590115547)]",28,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
2280,"[0, 1, 3]","[((0, 3, 5), 0.050985679030418396), ((0, 3, 2), 0.049832895398139954), ((0, 3, 1), 0.04890824854373932), ((0, 5, 3), 0.04532954469323158), ((0, 2, 3), 0.04400977864861488)]",6,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
2400,"[1, 0, 2]","[((0, 1, 2), 0.07847462594509125), ((1, 0, 2), 0.07602781057357788), ((0, 2, 1), 0.06704186648130417), ((1, 2, 0), 0.061968836933374405), ((2, 0, 1), 0.05935030058026314)]",2,"(1, 0, 2)",1-0-2,2-1-3,若松_20250424_6,18.5
2520,"[0, 3, 5]","[((0, 1, 3), 0.18527625501155853), ((0, 1, 5), 0.14538054168224335), ((1, 0, 3), 0.12261924147605896), ((1, 0, 5), 0.09621550887823105), ((0, 3, 1), 0.05649019777774811)]",18,"(0, 3, 5)",0-3-5,1-4-6,若松_20250424_7,49.6
2640,"[0, 2, 1]","[((0, 1, 2), 0.1470281332731247), ((0, 2, 1), 0.13452570140361786), ((1, 0, 2), 0.12666794657707214), ((2, 0, 1), 0.11119989305734634), ((1, 2, 0), 0.09063055366277695)]",2,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
2760,"[0, 4, 3]","[((0, 1, 3), 0.10600554943084717), ((0, 3, 1), 0.10084087401628494), ((1, 0, 3), 0.04758642986416817), ((0, 1, 5), 0.047348830848932266), ((3, 0, 1), 0.044603414833545685)]",17,"(0, 4, 3)",0-4-3,1-5-4,若松_20250424_9,10.4
2880,"[1, 3, 4]","[((0, 3, 5), 0.02397570200264454), ((0, 5, 3), 0.02228904701769352), ((3, 0, 5), 0.02127785049378872), ((0, 3, 2), 0.02122277207672596), ((0, 2, 3), 0.0191098153591156)]",100,"(1, 3, 4)",1-3-4,2-4-5,若松_20250425_1,472.1
3000,"[5, 3, 4]","[((5, 0, 4), 0.11857764422893524), ((0, 5, 4), 0.08295892179012299), ((5, 4, 0), 0.07672539353370667), ((5, 0, 2), 0.053548116236925125), ((4, 5, 0), 0.04518042504787445)]",24,"(5, 3, 4)",5-3-4,6-4-5,若松_20250425_10,101.6
3120,"[0, 5, 3]","[((0, 3, 5), 0.05357872694730759), ((0, 5, 3), 0.05333424732089043), ((0, 3, 4), 0.041989393532276154), ((0, 5, 4), 0.041269294917583466), ((0, 4, 3), 0.03880693018436432)]",2,"(0, 5, 3)",0-5-3,1-6-4,若松_20250421_7,15.1
3240,"[0, 5, 3]","[((0, 2, 1), 0.16928716003894806), ((0, 1, 2), 0.11748301237821579), ((2, 0, 1), 0.07164208590984344), ((0, 2, 3), 0.054685045033693314), ((0, 2, 5), 0.04987294599413872)]",33,"(0, 5, 3)",0-5-3,1-6-4,若松_20250421_7,15.1
3360,"[2, 3, 1]","[((2, 3, 1), 0.10736396908760071), ((3, 2, 1), 0.08824999630451202), ((2, 1, 3), 0.07735030353069305), ((2, 3, 5), 0.06944680213928223), ((3, 2, 5), 0.05708320438861847)]",1,"(2, 3, 1)",2-3-1,3-4-2,若松_20250425_2,86.4
3480,"[1, 5, 3]","[((1, 5, 3), 0.025767898187041283), ((1, 5, 2), 0.025017762556672096), ((5, 1, 3), 0.023876512423157692), ((5, 1, 2), 0.023181436583399773), ((1, 3, 5), 0.0229582991451025)]",1,"(1, 5, 3)",1-5-3,2-6-4,若松_20250425_3,27.1
3600,"[0, 2, 5]","[((0, 2, 4), 0.06443078815937042), ((0, 4, 2), 0.05509091913700104), ((2, 0, 4), 0.05225128307938576), ((4, 0, 2), 0.04117109626531601), ((0, 2, 5), 0.038830939680337906)]",5,"(0, 2, 5)",0-2-5,1-3-6,若松_20250425_4,74.7
3720,"[0, 1, 3]","[((0, 1, 3), 0.12482030689716339), ((0, 3, 1), 0.09584847092628479), ((0, 1, 5), 0.06673549860715866), ((1, 0, 3), 0.06477848440408707), ((0, 1, 2), 0.0505647175014019)]",1,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
3840,"[2, 4, 5]","[((4, 3, 2), 0.022008128464221954), ((4, 2, 3), 0.021393388509750366), ((4, 3, 5), 0.021363254636526108), ((3, 4, 2), 0.020859001204371452), ((4, 5, 3), 0.020569168031215668)]",14,"(2, 4, 5)",2-4-5,3-5-6,若松_20250425_6,36.0
3960,"[2, 0, 5]","[((2, 0, 5), 0.1734006255865097), ((0, 2, 5), 0.16410483419895172), ((2, 5, 0), 0.12005497515201569), ((0, 5, 2), 0.10436373949050903), ((5, 2, 0), 0.09580246359109879)]",1,"(2, 0, 5)",2-0-5,3-1-6,若松_20250425_7,13.5
4080,"[0, 1, 2]","[((0, 1, 2), 0.19634002447128296), ((1, 0, 2), 0.132100909948349), ((0, 2, 1), 0.11271420866250992), ((2, 0, 1), 0.06275388598442078), ((0, 1, 5), 0.049851350486278534)]",1,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
4200,"[5, 2, 0]","[((0, 5, 2), 0.13748666644096375), ((0, 2, 5), 0.09096302837133408), ((5, 0, 2), 0.08967172354459763), ((0, 5, 4), 0.08522243052721024), ((5, 0, 4), 0.05558387562632561)]",8,"(5, 2, 0)",5-2-0,6-3-1,若松_20250425_9,23.0
4320,"[0, 5, 3]","[((0, 3, 4), 0.08860644698143005), ((0, 3, 2), 0.0728883370757103), ((0, 4, 3), 0.06881923973560333), ((0, 3, 5), 0.06782162189483643), ((0, 2, 3), 0.054154425859451294)]",6,"(0, 5, 3)",0-5-3,1-6-4,若松_20250421_7,15.1
4440,"[0, 1, 2]","[((2, 0, 3), 0.1372683197259903), ((2, 0, 1), 0.10027553141117096), ((0, 2, 3), 0.09136094897985458), ((2, 3, 0), 0.08783043920993805), ((0, 2, 1), 0.06673984974622726)]",13,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
4560,"[0, 1, 4]","[((0, 1, 3), 0.10346268117427826), ((0, 3, 1), 0.07568758726119995), ((0, 1, 4), 0.06916404515504837), ((1, 0, 3), 0.05365890637040138), ((0, 4, 1), 0.04602132365107536)]",3,"(0, 1, 4)",0-1-4,1-2-5,若松_20250424_11,8.3
4680,"[0, 1, 2]","[((0, 1, 2), 0.06357797235250473), ((0, 2, 1), 0.05883284658193588), ((1, 0, 2), 0.05035437270998955), ((2, 0, 1), 0.044751863926649094), ((0, 1, 4), 0.035879865288734436)]",1,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
4800,"[2, 0, 4]","[((2, 3, 0), 0.06508053094148636), ((2, 3, 1), 0.055491551756858826), ((2, 0, 3), 0.05428973212838173), ((2, 1, 3), 0.044390734285116196), ((2, 3, 4), 0.038373254239559174)]",15,"(2, 0, 4)",2-0-4,3-1-5,若松_20250426_2,17.2
4920,"[2, 4, 3]","[((2, 4, 0), 0.032485004514455795), ((2, 0, 4), 0.03129170089960098), ((2, 4, 1), 0.030106959864497185), ((2, 1, 4), 0.028298689052462578), ((4, 2, 0), 0.02685844525694847)]",9,"(2, 4, 3)",2-4-3,3-5-4,若松_20250426_3,119.6
5040,"[2, 0, 4]","[((3, 5, 2), 0.041670799255371094), ((3, 2, 5), 0.038088299334049225), ((3, 5, 0), 0.0371255949139595), ((5, 3, 2), 0.034246888011693954), ((3, 0, 5), 0.03271276131272316)]",77,"(2, 0, 4)",2-0-4,3-1-5,若松_20250426_2,17.2
5160,"[0, 3, 1]","[((0, 1, 3), 0.13646754622459412), ((0, 1, 2), 0.1254301220178604), ((1, 0, 3), 0.09118842333555222), ((1, 0, 2), 0.0838131532073021), ((0, 3, 1), 0.07099589705467224)]",5,"(0, 3, 1)",0-3-1,1-4-2,若松_20250421_8,9.4
5280,"[2, 0, 5]","[((0, 2, 5), 0.1636878252029419), ((0, 2, 3), 0.11464770883321762), ((2, 0, 5), 0.09943374246358871), ((0, 2, 4), 0.07320984452962875), ((2, 0, 3), 0.06964385509490967)]",3,"(2, 0, 5)",2-0-5,3-1-6,若松_20250425_7,13.5
5400,"[0, 1, 2]","[((0, 2, 1), 0.09874319285154343), ((0, 2, 3), 0.08866996318101883), ((0, 2, 5), 0.07743948698043823), ((2, 0, 1), 0.07285617291927338), ((2, 0, 3), 0.06542379409074783)]",7,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
5520,"[0, 1, 3]","[((0, 1, 3), 0.08751259744167328), ((0, 1, 2), 0.08432114124298096), ((0, 3, 1), 0.06674477458000183), ((0, 2, 1), 0.06362522393465042), ((1, 0, 3), 0.04840470850467682)]",1,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
5640,"[0, 2, 1]","[((2, 1, 4), 0.06474798917770386), ((2, 1, 0), 0.0636981949210167), ((1, 2, 4), 0.05526493489742279), ((1, 2, 0), 0.054368890821933746), ((2, 4, 1), 0.04765999689698219)]",8,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
5760,"[2, 4, 1]","[((1, 2, 5), 0.097724050283432), ((1, 5, 2), 0.07921317219734192), ((2, 1, 5), 0.07033240795135498), ((1, 2, 4), 0.0651484951376915), ((5, 1, 2), 0.051994871348142624)]",14,"(2, 4, 1)",2-4-1,3-5-2,若松_20250429_1,194.4
5880,"[3, 0, 4]","[((0, 1, 4), 0.05426779389381409), ((0, 1, 3), 0.05258232355117798), ((0, 4, 1), 0.049802858382463455), ((0, 3, 1), 0.04779744893312454), ((0, 1, 2), 0.04152470827102661)]",19,"(3, 0, 4)",3-0-4,4-1-5,若松_20250429_10,76.5
6000,"[0, 2, 4]","[((0, 2, 1), 0.1468743532896042), ((0, 1, 2), 0.08734684437513351), ((2, 0, 1), 0.0706683024764061), ((0, 2, 3), 0.06665986031293869), ((0, 2, 5), 0.0647817850112915)]",6,"(0, 2, 4)",0-2-4,1-3-5,若松_20250421_2,38.6
6120,"[0, 2, 1]","[((0, 2, 1), 0.09638632833957672), ((0, 1, 2), 0.07430969178676605), ((2, 0, 1), 0.07046286761760712), ((0, 2, 5), 0.048891581594944), ((1, 0, 2), 0.04843636974692345)]",1,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
6240,"[0, 2, 5]","[((0, 2, 3), 0.14245040714740753), ((0, 3, 2), 0.1042218804359436), ((0, 2, 4), 0.08752186596393585), ((0, 2, 5), 0.07793345302343369), ((0, 4, 2), 0.05762740597128868)]",4,"(0, 2, 5)",0-2-5,1-3-6,若松_20250425_4,74.7
6360,"[3, 1, 0]","[((0, 2, 1), 0.04941888898611069), ((0, 1, 2), 0.04807385802268982), ((2, 0, 1), 0.037760715931653976), ((1, 0, 2), 0.03619818016886711), ((0, 2, 3), 0.03546137735247612)]",28,"(3, 1, 0)",3-1-0,4-2-1,若松_20250429_3,188.8
6480,"[0, 4, 1]","[((2, 4, 0), 0.050797026604413986), ((4, 2, 0), 0.04661618173122406), ((2, 0, 4), 0.03814040124416351), ((2, 4, 5), 0.03696415200829506), ((4, 2, 5), 0.03392181918025017)]",54,"(0, 4, 1)",0-4-1,1-5-2,若松_20250429_4,15.2
6600,"[0, 1, 3]","[((0, 3, 1), 0.19866254925727844), ((0, 3, 2), 0.12696391344070435), ((0, 1, 3), 0.09438557922840118), ((3, 0, 1), 0.08475873619318008), ((0, 2, 3), 0.05565929785370827)]",3,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
6720,"[0, 1, 4]","[((0, 1, 2), 0.13866911828517914), ((0, 2, 1), 0.11052673310041428), ((0, 1, 4), 0.059873830527067184), ((1, 0, 2), 0.0508941188454628), ((0, 1, 3), 0.045232705771923065)]",3,"(0, 1, 4)",0-1-4,1-2-5,若松_20250424_11,8.3
6840,"[0, 4, 3]","[((4, 0, 3), 0.12179280817508698), ((0, 4, 3), 0.10023264586925507), ((4, 3, 0), 0.08990468084812164), ((3, 4, 0), 0.06438721716403961), ((0, 3, 4), 0.05644652247428894)]",2,"(0, 4, 3)",0-4-3,1-5-4,若松_20250424_9,10.4
6960,"[1, 0, 5]","[((0, 5, 1), 0.0952630266547203), ((0, 1, 5), 0.07179247587919235), ((0, 5, 3), 0.06710565835237503), ((0, 5, 2), 0.05384238064289093), ((0, 3, 5), 0.04670720174908638)]",10,"(1, 0, 5)",1-0-5,2-1-6,若松_20250429_8,137.1
7080,"[0, 2, 3]","[((0, 2, 3), 0.1256130039691925), ((0, 3, 2), 0.11405768990516663), ((0, 2, 1), 0.05158618465065956), ((0, 2, 5), 0.050159912556409836), ((2, 0, 3), 0.041506145149469376)]",1,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
7200,"[0, 2, 1]","[((0, 1, 3), 0.08787820488214493), ((0, 3, 1), 0.08307839184999466), ((0, 1, 2), 0.08296597003936768), ((0, 2, 1), 0.07695730775594711), ((0, 3, 2), 0.06767058372497559)]",4,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
7320,"[1, 2, 4]","[((2, 0, 1), 0.09965786337852478), ((2, 1, 0), 0.0840364471077919), ((0, 2, 1), 0.06290313601493835), ((2, 0, 4), 0.05820653587579727), ((1, 2, 0), 0.04958165064454079)]",14,"(1, 2, 4)",1-2-4,2-3-5,若松_20250504_10,388.8
7440,"[0, 2, 3]","[((0, 2, 1), 0.1628645658493042), ((2, 0, 1), 0.16220040619373322), ((0, 2, 3), 0.12020288407802582), ((2, 0, 3), 0.1197127029299736), ((0, 2, 5), 0.05874176323413849)]",3,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
7560,"[0, 1, 3]","[((0, 1, 3), 0.09214267134666443), ((0, 1, 2), 0.08592481911182404), ((0, 1, 4), 0.07101762294769287), ((1, 0, 3), 0.06192074716091156), ((1, 0, 2), 0.057742293924093246)]",1,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
7680,"[0, 3, 1]","[((3, 0, 2), 0.08246558904647827), ((3, 2, 0), 0.0798482894897461), ((0, 3, 2), 0.059263620525598526), ((2, 3, 0), 0.05653171241283417), ((3, 0, 1), 0.05434999614953995)]",9,"(0, 3, 1)",0-3-1,1-4-2,若松_20250421_8,9.4
7800,"[5, 0, 2]","[((5, 2, 0), 0.04589136317372322), ((2, 5, 0), 0.04275074228644371), ((5, 0, 2), 0.03923379257321358), ((2, 0, 5), 0.033251047134399414), ((0, 5, 2), 0.0332229919731617)]",3,"(5, 0, 2)",5-0-2,6-1-3,若松_20250504_3,41.4
7920,"[1, 2, 4]","[((2, 0, 5), 0.0842205360531807), ((2, 5, 0), 0.08185846358537674), ((2, 0, 1), 0.058301523327827454), ((2, 5, 1), 0.053071219474077225), ((2, 1, 0), 0.05026226490736008)]",25,"(1, 2, 4)",1-2-4,2-3-5,若松_20250504_10,388.8
8040,"[0, 1, 3]","[((0, 1, 3), 0.1731945276260376), ((0, 1, 5), 0.1524069905281067), ((1, 0, 3), 0.143768772482872), ((1, 0, 5), 0.1265130341053009), ((0, 1, 2), 0.06907890737056732)]",1,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
8160,"[4, 1, 3]","[((4, 1, 2), 0.08247481286525726), ((4, 2, 1), 0.08160895109176636), ((1, 4, 2), 0.06332376599311829), ((2, 4, 1), 0.06233654171228409), ((1, 2, 4), 0.04258689656853676)]",7,"(4, 1, 3)",4-1-3,5-2-4,若松_20250504_6,59.9
8280,"[0, 2, 1]","[((0, 1, 2), 0.18598146736621857), ((0, 2, 1), 0.14909644424915314), ((0, 1, 4), 0.07132048904895782), ((0, 1, 5), 0.05806642025709152), ((1, 0, 2), 0.048215121030807495)]",2,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
8400,"[2, 1, 3]","[((2, 1, 0), 0.0841081440448761), ((2, 0, 1), 0.08317675441503525), ((1, 2, 0), 0.05308428779244423), ((0, 2, 1), 0.052253708243370056), ((2, 1, 5), 0.03709590435028076)]",7,"(2, 1, 3)",2-1-3,3-2-4,若松_20250504_8,161.5
8520,"[2, 3, 1]","[((1, 2, 3), 0.0832396075129509), ((2, 1, 3), 0.07973739504814148), ((1, 2, 0), 0.06646716594696045), ((2, 1, 0), 0.06367063522338867), ((1, 3, 2), 0.05183916538953781)]",6,"(2, 3, 1)",2-3-1,3-4-2,若松_20250425_2,86.4
8640,"[0, 2, 1]","[((1, 0, 2), 0.0657677948474884), ((1, 2, 0), 0.05663062259554863), ((1, 0, 3), 0.054875243455171585), ((1, 3, 0), 0.04470151662826538), ((0, 1, 2), 0.04433926194906235)]",12,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
8760,"[0, 3, 4]","[((3, 0, 4), 0.12384640425443649), ((0, 3, 4), 0.11372711509466171), ((3, 4, 0), 0.06970151513814926), ((3, 0, 2), 0.057621415704488754), ((0, 4, 3), 0.05733330175280571)]",2,"(0, 3, 4)",0-3-4,1-4-5,若松_20250515_10,18.7
8880,"[0, 4, 2]","[((2, 0, 3), 0.09759406745433807), ((2, 0, 4), 0.08999505639076233), ((0, 2, 3), 0.0782225951552391), ((2, 0, 1), 0.07433291524648666), ((0, 2, 4), 0.07213190943002701)]",13,"(0, 4, 2)",0-4-2,1-5-3,若松_20250515_11,29.2
9000,"[2, 0, 1]","[((2, 0, 1), 0.2097111940383911), ((0, 2, 1), 0.10776948183774948), ((2, 1, 0), 0.09253665059804916), ((2, 0, 3), 0.08732230961322784), ((2, 0, 5), 0.04990058392286301)]",1,"(2, 0, 1)",2-0-1,3-1-2,若松_20250515_12,32.2
9120,"[1, 4, 2]","[((1, 2, 4), 0.20426976680755615), ((1, 4, 2), 0.12365612387657166), ((2, 1, 4), 0.08691795915365219), ((1, 2, 5), 0.08013426512479782), ((1, 2, 3), 0.05375572293996811)]",2,"(1, 4, 2)",1-4-2,2-5-3,若松_20250515_2,57.5
9240,"[0, 1, 5]","[((0, 2, 3), 0.15951529145240784), ((0, 3, 2), 0.12496645748615265), ((0, 2, 5), 0.06877138465642929), ((0, 2, 1), 0.06450332701206207), ((2, 0, 3), 0.05684362351894379)]",22,"(0, 1, 5)",0-1-5,1-2-6,若松_20250515_3,78.9
9360,"[1, 4, 3]","[((1, 4, 5), 0.09441952407360077), ((1, 4, 3), 0.0805315375328064), ((1, 4, 2), 0.07641302794218063), ((1, 5, 4), 0.07637010514736176), ((1, 3, 4), 0.06253083050251007)]",2,"(1, 4, 3)",1-4-3,2-5-4,若松_20250515_4,30.6
9480,"[3, 1, 0]","[((0, 1, 3), 0.0799812376499176), ((0, 3, 1), 0.07715541869401932), ((1, 0, 3), 0.0715276300907135), ((3, 0, 1), 0.0676514133810997), ((1, 3, 0), 0.05811724811792374)]",6,"(3, 1, 0)",3-1-0,4-2-1,若松_20250429_3,188.8
9600,"[0, 3, 4]","[((0, 2, 3), 0.06698188185691833), ((0, 2, 4), 0.0651206448674202), ((0, 2, 1), 0.05791961029171944), ((0, 3, 2), 0.05725414305925369), ((0, 4, 2), 0.05527997761964798)]",8,"(0, 3, 4)",0-3-4,1-4-5,若松_20250515_10,18.7
9720,"[5, 2, 3]","[((2, 5, 0), 0.0690838024020195), ((2, 0, 5), 0.06789357215166092), ((2, 5, 3), 0.0585215799510479), ((2, 0, 3), 0.055645570158958435), ((5, 2, 0), 0.05503327399492264)]",9,"(5, 2, 3)",5-2-3,6-3-4,若松_20250515_7,97.2
9840,"[0, 1, 2]","[((0, 2, 1), 0.12252913415431976), ((0, 1, 2), 0.08825760334730148), ((0, 2, 5), 0.07563894242048264), ((2, 0, 1), 0.05751921609044075), ((0, 2, 4), 0.05174565687775612)]",2,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
9960,"[3, 2, 0]","[((0, 3, 2), 0.08915125578641891), ((0, 3, 1), 0.0815938264131546), ((3, 0, 2), 0.06553290784358978), ((3, 0, 1), 0.05997762456536293), ((0, 2, 3), 0.055505476891994476)]",11,"(3, 2, 0)",3-2-0,4-3-1,若松_20250515_9,125.5
10080,"[0, 1, 3]","[((1, 3, 0), 0.16201871633529663), ((3, 1, 0), 0.13227057456970215), ((1, 0, 3), 0.0706070065498352), ((1, 3, 2), 0.06885450333356857), ((3, 1, 2), 0.0562121756374836)]",7,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
10200,"[2, 0, 1]","[((2, 0, 1), 0.3018072247505188), ((0, 2, 1), 0.1648419052362442), ((2, 1, 0), 0.11913739144802094), ((2, 0, 3), 0.06219184026122093), ((1, 2, 0), 0.05175473913550377)]",1,"(2, 0, 1)",2-0-1,3-1-2,若松_20250515_12,32.2
10320,"[2, 3, 0]","[((0, 2, 3), 0.06865318864583969), ((0, 3, 2), 0.05775531753897667), ((0, 2, 1), 0.051277779042720795), ((0, 1, 2), 0.040019284933805466), ((2, 0, 3), 0.039195213466882706)]",19,"(2, 3, 0)",2-3-0,3-4-1,若松_20250517_11,192.7
10440,"[1, 4, 2]","[((1, 2, 3), 0.0754653587937355), ((1, 2, 0), 0.07337941974401474), ((1, 3, 2), 0.06908909231424332), ((1, 0, 2), 0.06654810905456543), ((1, 3, 0), 0.05390767753124237)]",8,"(1, 4, 2)",1-4-2,2-5-3,若松_20250515_2,57.5
10560,"[1, 0, 4]","[((1, 2, 0), 0.12587517499923706), ((1, 0, 2), 0.11694152653217316), ((2, 1, 0), 0.08352839201688766), ((0, 1, 2), 0.0753646269440651), ((1, 2, 5), 0.04604259505867958)]",18,"(1, 0, 4)",1-0-4,2-1-5,若松_20250517_2,12.1
10680,"[0, 2, 4]","[((0, 4, 2), 0.14545196294784546), ((0, 2, 4), 0.11390431225299835), ((0, 4, 1), 0.06870948523283005), ((0, 4, 3), 0.049712035804986954), ((4, 0, 2), 0.047581885010004044)]",2,"(0, 2, 4)",0-2-4,1-3-5,若松_20250421_2,38.6
