登番,名前,読み,性別,養成期,25後期,25前期,24後期,24前期,23後期,23前期,22後期,22前期,21後期,21前期,20後期,20前期,19後期,19前期,18後期,18前期,17後期,17前期,16後期,16前期,15後期,15前期,14後期,14前期,13後期,13前期,12後期,12前期,11後期,11前期,10後期,10前期,09後期,09前期,08後期,08前期,07後期,07前期,06後期,06前期,05後期,05前期,04後期,04前期,03後期,03前期,02後期,02前期,01後期,01前期,00後期
1754,伊達哲,ダテ　サトル,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1
1759,酒井忠義,サカイ　タダヨシ,1,14,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,A2,A2,A2,A2,A2,A2,A2,A2,A1,A1,A2,B1,A2
1781,谷川宏之,タニカワ　ヒロユキ,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1
1812,長嶺豊,ナガミネ　ユタカ,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,A2,A2,A2,A2,A2,A1,A1,A1
1825,森満弘,モリ　ミツヒロ,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
1843,小林一生,コバヤシ　カズイキ,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,B1
1849,田中理,タナカ　オサム,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,A2,B1,B1,B1,B1,B1,A2,A2,B1
1853,大平浩士,オオヒラ　ヒロシ,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,A2,A2
1860,黒石旦明,クロイシ　カツアキ,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
1864,安岐真人,アキ　マサト,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,A2,A2,A1,A2,A1,A1,A1,A1,A1,A1
1875,縄谷博一,ナワヤ　ヒロイチ,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,A2,A2,A2
1884,柴田稔,シバタ　ミノル,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B2,B1,B1,B1,B1,B1,A2
1897,石塚憲明,イシヅカ　ノリアキ,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2
1910,大森健二,オオモリ　ケンジ,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,,A2,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1
1911,加藤元三,カトウ　モトゾウ,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
1914,佐竹孝雄,サタケ　タカオ,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,A2,A2,A1,A2,A1
1924,野口徳三,ノグチ　トクゾウ,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,A2,A2
1932,高崎靖徳,タカサキ　ヤスノリ,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1
1936,大屋勝利,オオヤ　カツトシ,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
1938,浮田明,ウキタ　アキラ,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2
1939,柿本清春,カキモト　キヨハル,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,A2
1942,石田栄章,イシダ　エイアキ,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,A2,A2,B1,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2
1948,脇山久夫,ワキヤマ　ヒサオ,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B1,B1,A2
1952,村田瑞穂,ムラタ　ミズホ,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,A2,A1,A2,B1,A2,B1,A2,A2,B1,B1,A2,B1,B1,B1,B2,A2
1962,井上利明,イノウエ　トシアキ,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,A2,A2,A2,A2
1974,村井重俊,ムライ　シゲトシ,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1
1976,川端寛,カワバタ　ヒロシ,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1
1977,藤井輝夫,フジイ　テルオ,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1
1985,児玉冨美雄,コダマ　フミオ,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2006,益田訓夫,マスダ　クニオ,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1
2014,高塚清一,タカツカ　セイイチ,1,20,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,B1,A2,B1,A1,A2,A2,A2,A2,B1,A2,A2,A1
2015,近藤幸男,コンドウ　ユキオ,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,B1,A2,B1
2016,森田謙治,モリタ　ケンジ,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B2,B2,B2,B1,B1,B1,B1
2021,古賀武日児,コガ　タケヒコ,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,A2,A2,A2,A2,A2
2022,平野小六,ヒラノ　コロク,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,A2,A2,A2,A1,A2
2023,堤栄一郎,ツツミ　エイイチロウ,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2031,中西寛治,ナカニシ　カンジ,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1
2034,谷口誠,タニグチ　マコト,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,A2,A2,A2,A2,A2,A2,A1,A1,A2
2036,倉重宏明,クラシゲ　ヒロアキ,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,,,,
2038,鈴木錦一,スズキ　キンイチ,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,A2
2042,金井秀夫,カナイ　ヒデオ,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,A2,B1,A2,A2,A2,A2,A1,A2,A2,B1,B1,B1,A2,A2,A2,A2,A2,A2,A1
2044,友永健策,トモナガ　ケンサク,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,A2,A2,A2,B1,A2,A2,A2,B1,A2,A2,A2,A2,A1,A1
2046,榊原利行,サカキバラ　トシユキ,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B1,B1,B2,B1,B1,B1
2049,佐口芳男,サグチ　ヨシオ,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2054,安岐保,アキ　タモツ,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,A2,B1,A2
2055,赤峰敏春,アカミネ　トシハル,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,A2,A2,A2,A2,A2
2056,池畑照正,イケハタ　テルマサ,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2057,向井康博,ムカイ　ヤスヒロ,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,A2,A2,A2,A2,A2,A2
2061,沢田茂晴,サワダ　シゲハル,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B1
2070,山本忠,ヤマモト　タダシ,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1
2073,村上一行,ムラカミ　カヅユキ,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1
2074,広瀬政憲,ヒロセ　マサノリ,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2083,森永修,モリナガ　オサム,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B2,B1
2084,納富英昭,ノウトミ　ヒデアキ,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,A2,A2,A2,A2,A1
2086,戸田千秋,トダ　チアキ,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B1,B1,B1,B1,B1,B1,B1
2090,黒明良光,クロミヨウ　ヨシミツ,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B2,B2,B2,A1,A2,A1
2091,小池正治,コイケ　マサハル,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,A2,B1,B1,B1,B1,A2,A2
2092,広田信男,ヒロタ　ノブオ,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2
2094,浦本正喜,ウラモト　マサキ,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,A2
2104,宮野日富美,ミヤノ　ヒフミ,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B2,B1,B1
2111,鎌野武,カマノ　タケシ,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2118,山口勲,ヤマグチ　イサオ,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,A2,B1
2121,高橋渉,タカハシ　ワタル,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1
2124,田鍋慶一,タナベ　ケイイチ,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B2,B2,B1,B1,B1,B1,B1,B1,B1
2127,村島昇,ムラシマ　ノボル,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2128,練木正義,ネリキ　マサヨシ,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B1,B1,B1
2129,山中貞治,ヤマナカ　サダジ,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1
2134,橋本恵治,ハシモト　　ケイジ,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1
2136,丸山隆,マルヤマ　タカシ,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B1
2143,東昭廣,ヒガシ　アキヒロ,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1
2144,倉橋良彦,クラハシ　ヨシヒコ,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B2,B2,B1
2145,西島一光,ニシジマ　カズミツ,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1
2146,白木満,シラキ　ミツル,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1
2148,近藤克行,コンドウ　カツユキ,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1
2154,新田吉夫,ニツタ　ヨシオ,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,A2,B1,A2
2160,立山一馬,タテヤマ　カズマ,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,A2,B1,A2,B1,A2,B1,A2,A2,A2,A2,A1,A2
2162,渡辺定雄,ワタナベ　サダオ,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B2,B1
2167,田代敏明,タシロ　トシアキ,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,A2,B1,B1,B1,B1,A2
2169,山口雅司,ヤマグチ　マサシ,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2170,古川文雄,フルカワ　フミオ,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,A1,A1,A2,A1
2179,吉岡勤,ヨシオカ　ツトム,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B1,B1
2190,岩下太男,イワシタ　タケオ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2192,伊達喬,ダテ　タカシ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2194,神ノ口国光,カミノクチ　クニミツ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2
2195,樋口保宏,ヒグチ　ヤスヒロ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1
2198,森實,モリ　ミノル,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2199,川上良雄,カワカミ　ヨシオ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1
2200,荒木保昌,アラキ　ヤスマサ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,A2,B1,B1,B1,A2,A2
2201,神山義雄,カミヤマ　ヨシオ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B1,B1,B1
2205,福永達夫,フクナガ　タツオ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B1,B1,B1,B1,A2,A2,A2,B1,B1,A2,A1
2207,西影喜春,ニシカゲ　ヨシハル,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2209,内堀和雄,ウチボリ　カズオ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B2,B2
2210,水本昭博,ミズモト　アキヒロ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1
2212,後川博,ウシロカワ　ヒロシ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,A2,B1,B1
2214,吉田芳夫,ヨシダ　ヨシオ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B2,B1,B1,B1,B1,B1,B1,A2
2218,上野賢裕,ウエノ　ケンユウ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1
2223,山下恭文,ヤマシタ　ヤスフミ,1,26,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2
2224,梶原浩一,カジワラ　コウイチ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1
2226,町田正明,マチダ　マサアキ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1
2238,金谷英男,カナタニ　ヒデオ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1
2243,松井正男,マツイ　マサオ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B1
2248,木村正太郎,キムラ　シヨウタロウ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B2,B2,B2
2249,福田栄治,フクダ　エイジ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,A2,B1,A2
2253,横山進一,ヨコヤマ　シンイチ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,A2,A2,A2
2256,西尾照雄,ニシオ　テルオ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1
2260,林通,ハヤシ　トオル,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,A2,B1,A2,B1,A2,A2,A1,A1
2265,山本義隆,ヤマモト　ヨシタカ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B2,B2,B1,B1,B1,B1,B1,B1,B1
2273,原田順一,ハラダ　ジユンイチ,1,26,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,A2,B1,A1,A2,A2,A2,A2,B1,A2,A2,A1,A2,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
2275,江原正義,エバラ　マサヨシ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,A2
2276,古谷猛,コヤ　タケシ,1,26,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,A2,A2,A1,A2,A2,A1,A1,A2,A1,A2,A1,A1,A1,A1,A1,A1
2277,藤井孝臣,フジイ　タカオミ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1
2278,元井秀行,モトイ　ヒデユキ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1
2283,内田功,ウチダ　イサオ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,A2,A2
2285,古賀藤太,コガ　トウタ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2288,吉田重義,ヨシダ　シゲヨシ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,A2,B1,A2,B1,A2,A2,A2,B1,A2,A2,A1,A2,A2,A2,A2,A2,B1
2289,上船俊一,ウエフネ　シユンイチ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B1,B1,B1,B1,B1
2291,野中和夫,ノナカ　カズオ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B2,B2,B2,B2,B2,A2,A2,A2,A2,A2,A2,A1,A2,A1,A1,A1
2299,鍵和田勇,カギワダ　イサム,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2
2300,野畑哲男,ノバタ　テツオ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1
2301,窪田稔,クボタ　ミノル,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1
2305,竹村一雄,タケムラ　カズオ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1,B1
2307,柚木益巳,ユノキ　マスミ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B2,B1,B2,B1,B2,B1,B1,B1
2308,筒井賢四郎,ツツイ　ケンシロウ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
2309,田中道男,タナカ　ミチオ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B1,B1,B1,B1,B1
2311,小西元親,コニシ　モトチカ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,A2,A2,A2,A2,A2
2312,本井伸一,モトイ　シンイチ,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1
